year,year_rank,group_name,artist,song_name,id
1987,94,Breakfast Club,Breakfast Club,Right On Track,3283
1987,95,Lionel Richie,Lionel Richie,Ballerina Girl,3284
1987,96,Kenny Loggins,Kenny Loggins,Meet Me Half Way,3285
1987,97,Cutting Crew,Cutting Crew,I've Been In Love Before,3286
1987,98,Beastie Boys,Beastie Boys,(You Gotta) Fight For Your Right (To Party),3287
1987,99,Pseudo Echo,Pseudo Echo,Funkytown,3288
1987,100,Ready For The World,Ready For The World,Love You Down,3289
1988,1,George Michael,George Michael,Faith,3290
1988,2,INXS,INXS,Need You Tonight,3291
1988,3,George Harrison,George Harrison,Got My Mind Set On You,3292
1988,4,Rick Astley,Rick Astley,Never Gonna Give You Up,3293
1988,5,Guns N' Roses,Guns N' Roses,Sweet Child O' Mine,3294
1988,6,Whitney Houston,Whitney Houston,So Emotional,3295
1988,7,Belinda Carlisle,Belinda Carlisle,Heaven Is A Place On Earth,3296
1988,8,Tiffany,Tiffany,Could've Been,3297
1988,9,Breathe,Breathe,Hands To Heaven,3298
1988,10,Steve Winwood,Steve Winwood,Roll With It,3299
1988,11,George Michael,George Michael,One More Try,3300
1988,12,Terence Trent d'Arby,Terence Trent d'Arby,Wishing Well,3301
1988,13,Gloria Estefan and Miami Sound Machine,Gloria Estefan,Anything For You,3302
1988,13,Gloria Estefan and Miami Sound Machine,Miami Sound Machine,Anything For You,3303
1988,14,Cheap Trick,Cheap Trick,The Flame,3304
1988,15,Billy Ocean,Billy Ocean,"Get Outta My Dreams, Get Into My Car",3305
1988,16,Expose,Expose,Seasons Change,3306
1988,17,Whitesnake,Whitesnake,Is This Love,3307
1988,18,Escape Club,Escape Club,"Wild, Wild West",3308
1988,19,Def Leppard,Def Leppard,Pour Some Sugar On Me,3309
1988,20,Taylor Dayne,Taylor Dayne,I'll Always Love You,3310
1988,21,Michael Jackson,Michael Jackson,Man In The Mirror,3311
1988,22,Debbie Gibson,Debbie Gibson,Shake Your Love,3312
1988,23,Robert Palmer,Robert Palmer,Simply Irresistible,3313
1988,24,Richard Marx,Richard Marx,Hold On To The Nights,3314
1988,25,Eric Carnen,Eric Carnen,Hungry Eyes,3315
1988,26,Johnny Hates Jazz,Johnny Hates Jazz,Shattered Dreams,3316
1988,27,George Michael,George Michael,Father Figure,3317
1988,28,Samantha Fox,Samantha Fox,Naughty Girls (Need Love Too),3318
1988,29,Phil Collins,Phil Collins,A Groovy Kind Of Love,3319
1988,30,Def Leppard,Def Leppard,Love Bites,3320
1988,31,Richard Marx,Richard Marx,Endless Summer Nights,3321
1988,32,Debbie Gibson,Debbie Gibson,Foolish Beat,3322
1988,33,Whitney Houston,Whitney Houston,Where Do Broken Hearts Go,3323
1988,34,Aerosmith,Aerosmith,Angel,3324
1988,35,Bangles,Bangles,Hazy Shade Of Winter,3325
1988,36,Michael Jackson,Michael Jackson,The Way You Make Me Feel,3326
1988,37,Bobby McFerrin,Bobby McFerrin,"Don't Worry, Be Happy",3327
1988,38,Eric Carnen,Eric Carnen,Make Me Lose Control,3328
1988,39,UB40,UB40,Red Red Wine,3329
1988,40,Patric Swayze,Patric Swayze,She's Like The Wind,3330
1988,41,Bon Jovi,Bon Jovi,Bad Medicine,3331
1988,42,Beach Boys,Beach Boys,Kokomo,3332
1988,43,Elton John,Elton John,I Don't Wanna Go On With You Like That,3333
1988,44,Rick Astley,Rick Astley,Together Forever,3334
1988,45,George Michael,George Michael,Monkey,3335
1988,46,INXS,INXS,Devil Inside,3336
1988,47,Richard Marx,Richard Marx,Should've Known Better,3337
1988,48,Chicago,Chicago,I Don't Wanna Live Without Your Love,3338
1988,49,Kylie Minogue,Kylie Minogue,The Loco-Motion,3339
1988,50,Pet Shop Boys and Dusty Springfield,Pet Shop Boys,What Have I Done To Deserve This?,3340
1988,50,Pet Shop Boys and Dusty Springfield,Dusty Springfield,What Have I Done To Deserve This?,3341
1988,51,Jets,Jets,Make It Real,3342
1988,52,Information Society,Information Society,What's On Your Mind,3343
1988,53,Taylor Dayne,Taylor Dayne,Tell It To My Heart,3344
1988,54,Debbie Gibson,Debbie Gibson,Out Of The Blue,3345
1988,55,Jody Watley,Jody Watley,Don't You Want Me,3346
1988,56,U2,U2,Desire,3347
1988,57,Belinda Carlisle,Belinda Carlisle,I Get Weak,3348
1988,58,Terence Trent d'Arby,Terence Trent d'Arby,Sign Your Name,3349
1988,59,Roger,Roger,I Want To Be Your Man,3350
1988,60,Pebbles,Pebbles,Girlfriend,3351
1988,61,Michael Jackson,Michael Jackson,Dirty Diana,3352
1988,62,Gloria Estefan and Miami Sound Machine,Gloria Estefan,1 2 3 4,3353
1988,62,Gloria Estefan and Miami Sound Machine,Miami Sound Machine,1 2 3 4,3354
1988,63,Pebbles,Pebbles,Mercedes Boy,3355
1988,64,Huey Lewis and The News,Huey Lewis and The News,Perfect World,3356
1988,65,INXS,INXS,New Sensation,3357
1988,66,Pretty Poison,Pretty Poison,Catch Me (I'm Falling),3358
1988,67,New Edition,New Edition,If It Isn't Love,3359
1988,68,Jets,Jets,Rocket 2 U,3360
1988,69,Peter Cetera,Peter Cetera,One Good Woman,3361
1988,70,Cheap Trick,Cheap Trick,Don't Be Cruel,3362
1988,71,Elton John,Elton John,Candle In The Wind,3363
1988,72,Daryl Hall and John Oates,Daryl Hall,Everything Your Heart Desires,3364
1988,72,Daryl Hall and John Oates,John Oates,Everything Your Heart Desires,3365
1988,73,Foreigner,Foreigner,Say You Will,3366
1988,74,Keith Sweat,Keith Sweat,I Want Her,3367
1988,75,Natalie Cole,Natalie Cole,Pink Cadillac,3368
1988,76,Tracy Chapman,Tracy Chapman,Fast Car,3369
1988,77,Icehouse,Icehouse,Electric Blue,3370
1988,78,Bruce Hornsby and The Range,Bruce Hornsby and The Range,The Valley Road,3371
1988,79,Bobby Brown,Bobby Brown,Don't Be Cruel,3372
1988,80,Pet Shop Boys,Pet Shop Boys,Always On My Mind,3373
1988,81,Brenda Russell feat. Joe Esposito,Brenda Russell,Piano In The Dark,3374
1988,81,Brenda Russell feat. Joe Esposito,Joe Esposito,Piano In The Dark,3375
1988,82,Van Halen,Van Halen,When It's Love,3376
1988,83,Paul Carrack,Paul Carrack,Don't Shed A Tear,3377
1988,84,Sting,Sting,We'll Be Together,3378
1988,85,Joan Jett and The Blackhearts,Joan Jett and The Blackhearts,I Hate Myself For Loving You,3379
1988,86,Foreigner,Foreigner,I Don't Want To Live Without You,3380
1988,87,Al B. Sure!,Al B. Sure!,Nite And Day,3381
1988,88,Steve Winwood,Steve Winwood,Don't You Know What The Night Can Do,3382
1988,89,Whitney Houston,Whitney Houston,One Moment In Time,3383
1988,90,Gloria Estefan and Miami Sound Machine,Gloria Estefan,Can't Stay Away From You,3384
1988,90,Gloria Estefan and Miami Sound Machine,Miami Sound Machine,Can't Stay Away From You,3385
1988,91,George Michael,George Michael,Kissing A Fool,3386
1988,92,John Cougar Mellancamp,John Cougar Mellancamp,Cherry Bomb,3387
1988,93,Brenda K. Starr,Brenda K. Starr,I Still Believe,3388
1988,94,Cher,Cher,I Found Someone,3389
1988,95,INXS,INXS,Never Tear Us Apart,3390
1988,96,Steve Windwood,Steve Windwood,Valerie,3391
1988,97,David Lee Roth,David Lee Roth,Just Like Paradise,3392
1988,98,Poison,Poison,Nothin' But A Good Time,3393
1988,99,White Lion,White Lion,Wait,3394
1988,100,Taylor Dayne,Taylor Dayne,Prove Your Love,3395
1989,1,Chicago,Chicago,Look Away,3396
1989,2,Bobby Brown,Bobby Brown,My Prerogative,3397
1989,3,Poison,Poison,Every Rose Has Its Thorn,3398
1989,4,Paula Abdul,Paula Abdul,Straight Up,3399
1989,5,Janet Jackson,Janet Jackson,Miss You Much,3400
1989,6,Paula Abdul,Paula Abdul,Cold Hearted,3401
1989,7,Bette Midler,Bette Midler,Wind Beneath My Wings,3402
1989,8,Milli Vanilli,Milli Vanilli,Girl You Know Its True,3403
1989,9,Will To Power,Will To Power,"Baby, I Love Your Way-Freebird",3404
1989,10,Anita Baker,Anita Baker,Giving You The Best That I Got,3405
1989,11,Richard Marx,Richard Marx,Right Here Waiting,3406
1989,12,Boy Meets Girl,Boy Meets Girl,Waiting For A Star To Fall,3407
1989,13,Debbie Gibson,Debbie Gibson,Lost In Your Eyes,3408
1989,14,Gloria Estefan,Gloria Estefan,Don't Wanna Lose You,3409
1989,15,Warrant,Warrant,Heaven,3410
1989,16,Milli Vanilli,Milli Vanilli,Girl I'm Gonna Miss You,3411
1989,17,Roxette,Roxette,The Look,3412
